event_id,ip,http_method,requested_url,http_version,response_status,timestamp
112,10.80.136.213,GET,http://10.80.136.213:8088/favicon.ico,HTTP/1.1,404,2024-12-03 16:29:14
113,10.80.136.213,GET,http://10.80.136.213:8088/,HTTP/1.1,200,2024-12-03 16:30:25
114,10.80.136.213,GET,http://10.80.136.213:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:30:25
115,10.80.136.213,GET,http://10.80.136.213:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:30:25
116,10.80.136.213,GET,http://10.80.136.213:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:30:25
117,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 16:58:57
118,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:58:57
119,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:58:57
120,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:58:57
121,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:02:36
122,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:02:36
123,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:02:36
124,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:02:36
125,127.0.0.1,GET,http://localhost:8088/search,HTTP/1.1,405,2024-12-03 17:05:22
126,127.0.0.1,GET,http://localhost:8088/,HTTP/1.1,200,2024-12-03 17:05:27
127,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:05:27
128,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:05:27
129,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:05:27
130,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:05:38
131,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:05:38
132,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:05:38
133,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:05:38
134,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:06:37
135,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:06:37
136,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:06:37
137,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:06:37
138,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 17:08:17
139,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 17:08:17
140,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 17:08:17
141,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 17:08:17
142,127.0.0.1,POST,http://localhost:8088/clicked_doc?tweet_id=doc_5490&query=protests%20in%20india%202020&dwell_time=2,HTTP/1.1,204,2024-12-03 17:08:20
